cluster,label,size,top_keywords,top_titles
37,Cloud computing / Artificial intelligence / edge computing / Edge computing / Federated learning,36066,"Cloud computing, Artificial intelligence, edge computing, Edge computing, Federated learning",Leakage-Resilient Authenticated Key Exchange for Edge Artificial Intelligence || Authenticated Key Agreement Scheme for Fog-Driven IoT Healthcare System. || Privacy-preserving and Verifiable Classifier Training in Edge-Assisted Mobile Communication Systems || IoV-BCFL: an Intrusion Detection Method for IoV Based on Blockchain and Federated Learning || Verifiable Data Streaming with Efficient Update for Intelligent Automation Systems
2,Biomedical engineering / Computer science / Science / Humanities and Social Sciences / multidisciplinary,2182,"Biomedical engineering, Computer science, Science, Humanities and Social Sciences, multidisciplinary",GaNDLF: A Generally Nuanced Deep Learning Framework for Scalable End-to-End Clinical Workflows in Medical Imaging || AdaShare: Learning What to Share for Efficient Deep Multi-Task Learning || ObjectNet: A Large-Scale Bias-Controlled Dataset for Pushing the Limits of Object Recognition Models || ContextNet: Exploring Context and Detail for Semantic Segmentation in Real-time. || Federated Learning Enables Big Data for Rare Cancer Boundary Detection
44,Predictive models / Autonomous driving / Trajectory / Vehicle dynamics / trajectory prediction,2907,"Predictive models, Autonomous driving, Trajectory, Vehicle dynamics, trajectory prediction",TP-FRL: an Efficient and Adaptive Trajectory Prediction Method Based on the Rule and Learning-Based Frameworks Fusion || A Survey on Trajectory-Prediction Methods for Autonomous Driving || Knowledge Distillation-Based Edge-Decision Hierarchies for Interactive Behavior-Aware Planning in Autonomous Driving System || Integrated Decision and Control: Toward Interpretable and Computationally Efficient Driving Intelligence || Safe Deep Reinforcement Learning for Flow Control Within the Internet of Vehicles
10,Deep learning / Deep Learning / Transfer Learning / Robust Learning / Meta-Learning,1885,"Deep learning, Deep Learning, Transfer Learning, Robust Learning, Meta-Learning","Fine-Tuning Deep Neural Networks in Continuous Learning Scenarios || Deep Learning-a First Meta-Survey of Selected Reviews Across Scientific Disciplines, Their Commonalities, Challenges and Research Impact || Improving Deep Convolutional Neural Networks with Unsupervised Feature Learning || Bidirectional Prediction of Facial and Bony Shapes for Orthognathic Surgical Planning || Bi-Fusion of Structure and Deformation at Multi-scale for Joint Segmentation and Registration"
45,Deep learning / Defect detection / Feature extraction / Concrete crack / YOLOv5-IDS,1941,"Deep learning, Defect detection, Feature extraction, Concrete crack, YOLOv5-IDS","Deep Learning Algorithm for Real-Time Automatic Crack Detection, Segmentation, Qualification || Multiple Constraints Flow for Weakly-observable Defect Detection Based on Defect-free Samples || Enhanced Multiscale Attentional Feature Fusion Model for Defect Detection on Steel Surfaces || Deep Learning: Systematic Review, Models, Challenges, and Research Directions || Hybrid-Segmentor: Hybrid Approach for Automated Fine-Grained Crack Segmentation in Civil Infrastructure"
13,Learning Analytics / Assessment / ethics / higher education / human&#8208,4780,"Learning Analytics, Assessment, ethics, higher education, human&#8208","Challenges and Opportunities of Multimodal Data in Human Learning: the Computer Science Students' Perspective || OnTask: Delivering Data-Informed, Personalized Learning Support Actions. || VizChat: Enhancing Learning Analytics Dashboards with Contextualised Explanations Using Multimodal Generative AI Chatbots || Multimodal Learning Analytics to Inform Learning Design: Lessons Learned from Computing Education || SLADE: A Method for Designing Human-Centred Learning Analytics Systems"
36,Semi-Supervised Learning / dimensionality reduction / Visual analytics / Neural network visualization / Deep learning visualization,4523,"Semi-Supervised Learning, dimensionality reduction, Visual analytics, Neural network visualization, Deep learning visualization",A Task-and-technique Centered Survey on Visual Analytics for Deep Learning Model Engineering || Unsupervised Representation Learning by Predicting Random Distances || Visualizing the Hidden Activity of Artificial Neural Networks || Gaggle: Visual Analytics for Model Space Navigation. || UniVIP: A Unified Framework for Self-Supervised Visual Pre-training.
63,Fault diagnosis / fault diagnosis / Domain adaptation / Rolling bearing / Digital twin,5605,"Fault diagnosis, fault diagnosis, Domain adaptation, Rolling bearing, Digital twin",Digital Twin-Driven Focal Modulation-Based Convolutional Network for Intelligent Fault Diagnosis. || Data-Driven Machinery Fault Detection: A Comprehensive Review || Mixed Style Network Based: A Novel Rotating Machinery Fault Diagnosis Method Through Batch Spectral Penalization || Data-Driven Fault Diagnosis Method Based on Compressed Sensing and Improved Multiscale Network || Domain-invariant Feature Fusion Networks for Semi-Supervised Generalization Fault Diagnosis
14,virtual reality / Virtual reality / virtual human / human agent / design tool,2116,"virtual reality, Virtual reality, virtual human, human agent, design tool",SmartManikin: Virtual Humans with Agency for Design Tools || Technologies for Social Augmentations in User-Embodied Virtual Reality || Modelling Situated Human-Robot Interaction Using IrisTK. || Interaction in an Immersive Collaborative Virtual Reality Environment: A Comparison Between Leap Motion and HTC Controllers. || Exploration of Exocentric Perspective Interfaces for Virtual Reality Collaborative Tasks
41,smart grid / energy forecasting / recurrent neural network / Multitask / Deep learning,1748,"smart grid, energy forecasting, recurrent neural network, Multitask, Deep learning",Similarity-Based Chained Transfer Learning for Energy Forecasting with Big Data || Weather-aware Energy Management for Unmannedaerial Vehicles: a Machine Learning Application with Global Data Integration || Study on Deterministic and Interval Forecasting of Electricity Load Based on Multi-Objective Whale Optimization Algorithm and Transformer Model || Energy Efficient Deep Multi-Label ON/OFF Classification of Low Frequency Metered Home Appliances || Load Forecasting under Concept Drift: Online Ensemble Learning with Recurrent Neural Network and ARIMA
11,Remote sensing / artificial intelligence / IoT / remote sensing / aerial computing,3735,"Remote sensing, artificial intelligence, IoT, remote sensing, aerial computing",Application of Deep Learning in Integrated Pest Management: A Real-Time System for Detection and Diagnosis of Oilseed Rape Pests. || IoT Enabled Deep Learning Based Framework for Multiple Object Detection in Remote Sensing Images || Pair-Wise Similarity Knowledge Distillation for RSI Scene Classification. || Fast and Accurate Detection of Banana Fruits in Complex Background Orchards. || A Precise Apple Leaf Diseases Detection Using BCTNet under Unconstrained Environments.
0,Green AI / red AI / survey / environmental impact / Convolutional neural networks,195,"Green AI, red AI, survey, environmental impact, Convolutional neural networks",The Llama 3 Herd of Models. || Toward Green AI: A Methodological Survey of the Scientific Literature || A Large-Scale Benchmark for Few-Shot Program Induction and Synthesis. || Loss Aware Post-training Quantization. || Serving DNNs Like Clockwork: Performance Predictability from the Bottom Up
18,ECG / Deep learning / Electrocardiogram / Multi-resolution / Continual learning,2277,"ECG, Deep learning, Electrocardiogram, Multi-resolution, Continual learning",ECG-CL: A Comprehensive Electrocardiogram Interpretation Method Based on Continual Learning || Cardiovascular Disease Detection Based on Deep Learning and Multi-Modal Data Fusion || CardioID: Learning to Identification from Electrocardiogram Data || Inter-patient ECG Arrhythmia Heartbeat Classification Based on Unsupervised Domain Adaptation || Arrhythmia Detection Based on Multi-Scale Fusion of Hybrid Deep Models from Single Lead ECG Recordings: A Multicenter Dataset Study
43,Machine Learning Interpretability / Interpretable Models / Model Interpretability / Explainable AI / Visual Explanations,3418,"Machine Learning Interpretability, Interpretable Models, Model Interpretability, Explainable AI, Visual Explanations",From Machine Learning to Explainable AI || Explainable AI Methods - A Brief Overview. || Greybox XAI: A Neural-Symbolic Learning Framework to Produce Interpretable Predictions for Image Classification || xxAI - Beyond Explainable Artificial Intelligence. || CLEVR-XAI: A Benchmark Dataset for the Ground Truth Evaluation of Neural Network Explanations
6,Visual Question Answering / Visual Recognition / Meta-Learning / Language Understanding / Tandem Scheme,1725,"Visual Question Answering, Visual Recognition, Meta-Learning, Language Understanding, Tandem Scheme",TandemNet: Distilling Knowledge from Medical Images Using Diagnostic Reports As Optional Semantic References. || Conciseness: an Overlooked Language Task || Scaling Vision Transformers to 22 Billion Parameters. || PaLM: Scaling Language Modeling with Pathways || Recurrent Residual Networks Contain Stronger Lottery Tickets
