cluster,label,size,top_keywords,top_titles
59,Deep learning / Computer vision / Developments / Applications / Trends,158759,"Deep learning, Computer vision, Developments, Applications, Trends",Deep Learning for Visual Understanding: A Review. || Watching the World Go By: Representation Learning from Unlabeled Videos || Adult Image and Video Recognition by a Deep Multicontext Network and Fine-to-Coarse Strategy || Attribute Surrogates Learning and Spectral Tokens Pooling in Transformers for Few-shot Learning || Master's Thesis : Deep Learning for Visual Recognition
124,unsupervised feature selection / Optimization / Linear programming / Principal component analysis / Joints,5891,"unsupervised feature selection, Optimization, Linear programming, Principal component analysis, Joints",Discriminative Embedded Clustering: A Framework for Grouping High-Dimensional Data. || Joint Nonlinear Feature Selection and Continuous Values Regression Network || Unsupervised Feature Selection Via Adaptive Multimeasure Fusion || Unsupervised Feature Selection Via Controllable Adaptive Graph Learning and Discriminative Feature Learning. || Broad Learning System with Manifold Regularized Sparse Features for Semi-Supervised Classification.
39,Object Detection / Vertebrae Detection / GeoNet / dense depth / optical flow,5849,"Object Detection, Vertebrae Detection, GeoNet, dense depth, optical flow","GeoNet: Unsupervised Learning of Dense Depth, Optical Flow and Camera Pose. || FeatFlow: Learning Geometric Features for 3D Motion Estimation || MuRF-Net: Multi-Receptive Field Pillars for 3D Object Detection from Point Cloud || Towards Robust Image Matching in Low-Luminance Environments: Self-supervised Keypoint Detection and Descriptor-Free Cross-Fusion Matching || Transformation-Equivariant 3D Object Detection for Autonomous Driving."
62,Deep Learning / Representation Learning / Transfer Learning / Semi-Supervised Learning / Domain Adaptation,5846,"Deep Learning, Representation Learning, Transfer Learning, Semi-Supervised Learning, Domain Adaptation",NeurIPS 2020 Competition: Predicting Generalization in Deep Learning || Progressive Domain Expansion Network for Single Domain Generalization || Kproblog: an Algebraic Prolog for Machine Learning || Methods and Analysis of the First Competition in Predicting Generalization of Deep Learning. || Relational Pretrained Transformers Towards Democratizing Data Preparation [Vision].
74,Computational modeling / Federated learning / Servers / Accuracy / mobile edge computing,5802,"Computational modeling, Federated learning, Servers, Accuracy, mobile edge computing",Over-the-Air Federated Learning Via Second-Order Optimization. || Federated Learning for Energy-Efficient Task Computing in Wireless Networks || Computation Offloading for Partitionable Applications in Dense Networks: an Evolutionary Game Approach. || FedASA: A Personalized Federated Learning with Adaptive Model Aggregation for Heterogeneous Mobile Edge Computing || Online Management for Edge-Cloud Collaborative Continuous Learning: A Two-timescale Approach
50,Topic Modeling / Language Modeling / Statistical Language Modeling / Multilingual Neural Machine Translation / Neural Machine Translation,5688,"Topic Modeling, Language Modeling, Statistical Language Modeling, Multilingual Neural Machine Translation, Neural Machine Translation","Augmenting Interpretable Models with Large Language Models During Training || SOLAR 10.7B: Scaling Large Language Models with Simple Yet Effective Depth Up-Scaling || MindLLM: Pre-training Lightweight Large Language Model from Scratch, Evaluations and Domain Applications || MindLLM: Lightweight Large Language Model Pre-Training, Evaluation and Domain Application || Bert2bert: Towards Reusable Pretrained Language Models"
79,Federated learning / federated learning (FL) / Performance evaluation / Cloud computing / Servers,5667,"Federated learning, federated learning (FL), Performance evaluation, Cloud computing, Servers",Communication-Efficient Federated Learning for Wireless Edge Intelligence in IoT || Eco-FL: Enhancing Federated Learning Sustainability in Edge Computing Through Energy-Efficient Client Selection || PoPeC: PAoI-Centric Task Offloading with Priority over Unreliable Channels. || Selective Edge Computing for Mobile Analytics || Clients Eligibility-Based Lightweight Protocol in Federated Learning: an IDS Use-Case
121,Deep learning / Intelligent fault diagnosis / Feature extraction / Task analysis / Multi-sensor information fusion,5661,"Deep learning, Intelligent fault diagnosis, Feature extraction, Task analysis, Multi-sensor information fusion",Neural Architecture Search for Multi-Sensor Information Fusion-Based Intelligent Fault Diagnosis || A Novel Fusion Feature Imageization with Improved Extreme Learning Machine for Network Anomaly Detection || Machine Learning Tuning by Diversity Oriented Firefly Metaheuristics for Industry 4.0. || Federated Threat-Hunting Approach for Microservice-Based Industrial Cyber-Physical System || Digital Twin-Driven Focal Modulation-Based Convolutional Network for Intelligent Fault Diagnosis.
130,Adaptive dynamic programming / Heuristic algorithms / Laplace equations / Adaptive systems / Adaptive control,5623,"Adaptive dynamic programming, Heuristic algorithms, Laplace equations, Adaptive systems, Adaptive control",Adaptive Event-Triggered Near-Optimal Tracking Control for Unknown Continuous-Time Nonlinear Systems || Distributed Continuous-Time Optimization with Scalable Adaptive Event-Based Mechanisms || A Novel Actor–critic–identifier Architecture for Nonlinear Multiagent Systems with Gradient Descent Method || Observer-critic Structure-Based Adaptive Dynamic Programming for Decentralised Tracking Control of Unknown Large-Scale Nonlinear Systems || Cooperative Adaptive Optimal Output Regulation of Nonlinear Discrete-Time Multi-Agent Systems
13,Medical imaging / Deep learning / Ischemic stroke segmentation / Convolutional neural network / Convolutional neural networks,5610,"Medical imaging, Deep learning, Ischemic stroke segmentation, Convolutional neural network, Convolutional neural networks",Ischemic Stroke Segmentation by Transformer and Convolutional Neural Network Using Few-Shot Learning || LitefusionNet: Boosting the Performance for Medical Image Classification with an Intelligent and Lightweight Feature Fusion Network || A Survey on Deep Learning in Medical Image Analysis || SSANet-Novel Residual Network for Computer-Aided Diagnosis of Pulmonary Nodules in Chest Computed Tomography || Optimized Deep Learning Model for Comprehensive Medical Image Analysis Across Multiple Modalities
89,Medical image classification / Feature fusion / Transfer learning / Medical imaging / Convolutional neural network,5579,"Medical image classification, Feature fusion, Transfer learning, Medical imaging, Convolutional neural network",LitefusionNet: Boosting the Performance for Medical Image Classification with an Intelligent and Lightweight Feature Fusion Network || Medical Image Fusion Via Decoupled Representation and Component-Wise Regularization Learning || Medical Hyperspectral Image Classification Based Weakly Supervised Single-Image Global Learning Network || Fracture Detection in Pediatric Wrist Trauma X-ray Images Using YOLOv8 Algorithm || DFCAFNet: Dual-feature Co-Attentive Fusion Network for Diabetic Retinopathy Grading
114,Representation Learning / Graph representation learning / Semi-Supervised Learning / Signal Processing on Graphs / Graph Convolutional Networks,5554,"Representation Learning, Graph representation learning, Semi-Supervised Learning, Signal Processing on Graphs, Graph Convolutional Networks",Learning with Noisy Labels Through Learnable Weighting and Centroid Similarity || Contextual Features Online Prediction for Self-Supervised Graph Representation. || WOODS: Benchmarks for Out-of-Distribution Generalization in Time Series || Progressive Domain Expansion Network for Single Domain Generalization || Graph-MVP: Multi-View Prototypical Contrastive Learning for Multiplex Graphs
44,Virtual reality / Human-centered computing / User representations / multimodal feedback / peripersonal space,5459,"Virtual reality, Human-centered computing, User representations, multimodal feedback, peripersonal space",User Representations in Human-Computer Interaction || UNOC: Understanding Occlusion for Embodied Presence in Virtual Reality || RoboVisAR: Immersive Authoring of Condition-based AR Robot Visualisations || Real-time Multimodal Interaction in Virtual Reality - a Case Study with a Large Virtual Interface || OmniActions: Predicting Digital Actions in Response to Real-World Multimodal Sensory Inputs with LLMs
56,Edge computing / Internet of Things / smart cities / edge computing / Privacy,5439,"Edge computing, Internet of Things, smart cities, edge computing, Privacy",Deepint.net: A Rapid Deployment Platform for Smart Territories || A Scalable Distributed Machine Learning Approach for Attack Detection in Edge Computing Environments || SoK: Security Evaluation of Home-Based IoT Deployments || Atmosphere: Context and Situational-Aware Collaborative IoT Architecture for Edge-Fog-cloud Computing || Intelligent Offloading for Collaborative Smart City Services in Edge Computing
64,Machine learning / data visualization / Safety at work / Industry 4.0 / Sentient multimedia systems,5437,"Machine learning, data visualization, Safety at work, Industry 4.0, Sentient multimedia systems",A Machine Learning Based Sentient Multimedia Framework to Increase Safety at Work. || Deepint.net: A Rapid Deployment Platform for Smart Territories || Hybrid Optimization Algorithm for Detection of Security Attacks in IoT-Enabled Cyber-Physical Systems || Federated Multitask Learning for HyperFace || DSiV: Data Science for Intelligent Vehicles
126,Training / Data models / Federated learning / Computational modeling / Task analysis,5081,"Training, Data models, Federated learning, Computational modeling, Task analysis",ATPFL: Automatic Trajectory Prediction Model Design under Federated Learning Framework || Robust Searching-Based Gradient Collaborative Management in Intelligent Transportation System || Enabling Resource-efficient AIoT System with Cross-level Optimization: A Survey || Weighted Gate Layer Autoencoders || Effective Graph Modeling and Contrastive Learning for Time-Aware QoS Prediction
10,Multiple Object Tracking / Object Detection / Foreground Segmentation / Object Tracking / 3D Human Pose,5063,"Multiple Object Tracking, Object Detection, Foreground Segmentation, Object Tracking, 3D Human Pose",SurroundOcc: Multi-Camera 3D Occupancy Prediction for Autonomous Driving || $Monodiff$: Monocular 3D Object Detection and Pose Estimation with Diffusion Models || Real-Time Joint Semantic Segmentation and Depth Estimation Using Asymmetric Annotations || HENet: Hybrid Encoding for End-to-end Multi-task 3D Perception from Multi-view Cameras || 3D Video Object Detection with Learnable Object-Centric Global Optimization
117,Computational modeling / Computer architecture / Deep learning / Deep neural network / delta debugging,4909,"Computational modeling, Computer architecture, Deep learning, Deep neural network, delta debugging",A Post-training Framework for Improving the Performance of Deep Learning Models Via Model Transformation. || Lightweight Deep Learning: an Overview || AutoMTL: A Programming Framework for Automating Efficient Multi-Task Learning. || DAP: A Dataset-Agnostic Predictor of Neural Network Performance || Corun: Concurrent Inference and Continuous Training at the Edge for Cost-Efficient AI-Based Mobile Image Sensing
107,ML-aided wireless networks / out-of-distribution generalization / domain generalization / Automatic modulation classification / Explainable methods,4685,"ML-aided wireless networks, out-of-distribution generalization, domain generalization, Automatic modulation classification, Explainable methods","Domain Generalization in Machine Learning Models for Wireless Communications: Concepts, State-of-the-Art, and Open Issues || Towards Explainability for AI-based Edge Wireless Signal Automatic Modulation Classification || Multipoint Channel Charting for Wireless Networks || Learning-Aided Realtime Performance Optimisation of Cognitive UAV-Assisted Disaster Communication || Federated Learning for Wireless Communications: Motivation, Opportunities and Challenges"
71,ISAC / Sensors / Internet of Things / CSI-based Sensing / WiFi/5G sensing,4628,"ISAC, Sensors, Internet of Things, CSI-based Sensing, WiFi/5G sensing",Practical Issues and Challenges in CSI-based Integrated Sensing and Communication || Sensing As a Service in 6G Perceptive Networks: A Unified Framework for ISAC Resource Allocation || Multipath-Assisted Radio Sensing and State Detection for the Connected Aircraft Cabin || An Online Ensemble Method for Auto-scaling NFV-based Applications in the Edge || Analysis and Evaluation of Information Redundancy Mitigation for V2X Collective Perception
138,Internet of Things / Deep learning / Metric learning / Generator / Feature vector,4568,"Internet of Things, Deep learning, Metric learning, Generator, Feature vector",Metric Learning with Generator for Closed Loop Detection in VSLAM || Latent Feature Learning for Activity Recognition Using Simple Sensors in Smart Homes || Multi-scale Dense Gate Recurrent Unit Networks for Bearing Remaining Useful Life Prediction. || A Quantized Kernel Least Mean Square Scheme with Entropy-Guided Learning for Intelligent Data Analysis || Data Privacy Protection Health Status Assessment for Rotating Machinery with Dual-Task Feature Fusion Framework
6,traces / traces of use / asynchronous / social VE / framework,4383,"traces, traces of use, asynchronous, social VE, framework","Traces in Virtual Environments: A Framework and Exploration to Conceptualize the Design of Social Virtual Environments || Head-mounted Displays, Smartphones, or Smartwatches? - Augmenting Conversations with Digital Representation of Self. || Socially Distanced - Have User Evaluation Methods for Immersive Technologies Changed During the COVID-19 Pandemic? || Social Affordances at Play: Game Design Toward Socio-Technical Innovation. || Designing Future Social Wearables with Live Action Role Play (larp) Designers"
116,Observers / Adaptive control / Artificial neural networks / Vectors / Output feedback,4345,"Observers, Adaptive control, Artificial neural networks, Vectors, Output feedback",Cyclic-Small-Gain Approach to Adaptive Control for Multiagent Systems with Unknown Interconnected Dynamics || Saturated Threshold Event-Triggered Control for Multiagent Systems under Sensor Attacks and Its Application to UAVs. || Cooperative Tracking Control for Nonlinear MASs under Event-Triggered Communication || Fast Finite-Time Observer-Based Event-Triggered Consensus Control for Uncertain Nonlinear Multiagent Systems with Full-State Constraints || Distributed Event-Triggered Output-Feedback Time-Varying Formation Fault-Tolerant Control for Nonlinear Multi-Agent Systems
84,Security / Internet of things / Internet of Things / Machine learning / Privacy,4328,"Security, Internet of things, Internet of Things, Machine learning, Privacy","Security and Privacy Issues in Smart Cities/industries: Technologies, Applications, and Challenges || Internet of Things (iot) Security Intelligence: A Comprehensive Overview, Machine Learning Solutions and Research Directions || Deep Learning: the Frontier for Distributed Attack Detection in Fog-to-Things Computing. || Securing Internet of Things Using Machine and Deep Learning Methods: a Survey || SASC: Secure and Authentication-Based Sensor Cloud Architecture for Intelligent Internet of Things."
80,Federated learning / system heterogeneity / lottery ticket network / Machine learning / resource allocation,4298,"Federated learning, system heterogeneity, lottery ticket network, Machine learning, resource allocation",Federated Learning: A Cutting-Edge Survey of the Latest Advancements and Applications || Covert Model Poisoning Against Federated Learning: Algorithm Design and Optimization || RTIFed: A Reputation Based Triple-step Incentive Mechanism for Energy-Aware Federated Learning over Battery-Constricted Devices || Deep Learning for Hybrid 5G Services in Mobile Edge Computing Systems: Learn from a Digital Twin || FedPE: Adaptive Model Pruning-Expanding for Federated Learning on Mobile Devices
46,Calibration / sensor fusion / deep learning / unified perception / birds-eye-view birds-eye-view,4186,"Calibration, sensor fusion, deep learning, unified perception, birds-eye-view birds-eye-view",The RoboDrive Challenge: Drive Anytime Anywhere in Any Condition || A Robust LiDAR-Camera Self-Calibration Via Rotation-Based Alignment and Multi-Level Cost Volume || BEVerse: Unified Perception and Prediction in Birds-Eye-View for   Vision-Centric Autonomous Driving || MORE: Simultaneous Multi-View 3D Object Recognition and Pose Estimation || Improving CNN-based Planar Object Detection with Geometric Prior Knowledge
140,Feature extraction / Image recognition / Visualization / Multi-view learning / Statistical learning theory,4067,"Feature extraction, Image recognition, Visualization, Multi-view learning, Statistical learning theory",Multi-view Learning Overview: Recent Progress and New Challenges || Enet-CRF-Lidar: Lidar and Camera Fusion for Multi-Scale Object Recognition || Boosting 3D Point-Based Object Detection by Reducing Information Loss Caused by Discontinuous Receptive Fields || A Multi-focus Image Fusion Network Deployed in Smart City Target Detection || MemeNet: Toward a Reliable Local Projection for Image Recognition Via Semantic Featurization.
8,side-channels / trusted execution environments / obfuscation / SGX / side channel defense,4057,"side-channels, trusted execution environments, obfuscation, SGX, side channel defense",Obelix: Mitigating Side-Channels Through Dynamic Obfuscation || DR.SGX: Automated and Adjustable Side-Channel Protection for SGX Using Data Location Randomization. || DarkneTZ: Towards Model Privacy at the Edge Using Trusted Execution Environments || DR.SGX: Hardening SGX Enclaves Against Cache Attacks with Data Location Randomization || Evil from Within: Machine Learning Backdoors Through Hardware Trojans.
69,Training / communication-efficient federated learning / compression / convex loss function / image classification,4021,"Training, communication-efficient federated learning, compression, convex loss function, image classification","Online Distributed Optimization with Efficient Communication Via Temporal Similarity. || Sparse Random Networks for Communication-Efficient Federated Learning || Bottlenecks CLUB: Unifying Information-Theoretic Trade-offs among Complexity, Leakage, and Utility || Ditto: Fair and Robust Federated Learning Through Personalization. || Efficient Distributed Workload (Re-)Embedding"
108,Task analysis / Remote sensing / remote sensing / Computational modeling / Feature extraction,3965,"Task analysis, Remote sensing, remote sensing, Computational modeling, Feature extraction","Self-supervised Remote Sensing Feature Learning: Learning Paradigms, Challenges, and Future Works || A Unified Deep Learning Network for Remote Sensing Image Registration and Change Detection || Task-Oriented Image Transmission for Scene Classification in Unmanned Aerial Systems || MKN: Metakernel Networks for Few Shot Remote Sensing Scene Classification || 4D U-Nets for Multi-Temporal Remote Sensing Data Classification"
65,Internet of Things / federated learning / security / mobile edge computing / Deep learning,3860,"Internet of Things, federated learning, security, mobile edge computing, Deep learning",A Mechanism for Securing IoT-enabled Applications at the Fog Layer || Advanced Deep Learning for Resource Allocation and Security Aware Data Offloading in Industrial Mobile Edge Computing. || A Review of On-Device Machine Learning for IoT: an Energy Perspective || Dynamic Threshold Strategy Optimization for Security Protection in Internet of Things: an Adversarial Deep Learning‐based Game‐theoretical Approach || A Hybrid Secure Resource Allocation and Trajectory Optimization Approach for Mobile Edge Computing Using Federated Learning Based on WEB 3.0
131,Representation learning / Semantics / Correlation / Task analysis / Multi-view learning,3844,"Representation learning, Semantics, Correlation, Task analysis, Multi-view learning",Comprehensive Analysis of Clustering Algorithms: Exploring Limitations and Innovative Solutions || Feature-Attention Graph Convolutional Networks for Noise Resilient Learning. || Multi-view Graph Convolutional Networks with Differentiable Node Selection. || Efficient Multi-View Graph Convolutional Networks Via Local Aggregation and Global Propagation || BrainGB: A Benchmark for Brain Network Analysis with Graph Neural Networks
137,sensor faults / Actuators / fault-tolerant control (FTC) / prescribed performance / Event-triggered control,3802,"sensor faults, Actuators, fault-tolerant control (FTC), prescribed performance, Event-triggered control",Data-Driven Fault Detection for Dynamic Systems with Performance Degradation: A Unified Transfer Learning Framework || Distributed Prescribed Performance Fault-Tolerant Control of Multi-UAVs with Input Delays Via Dynamic Event-Triggered Observers || Event-triggered Neural Adaptive Anti-Disturbance Control of Nonlinear Multi-Agent Systems with Asymmetric Constraints || Fractional-Order Adaptive Fault-Tolerant Synchronization Tracking Control of Networked Fixed-Wing UAVs Against Actuator-Sensor Faults Via Intelligent Learning Mechanism || Distributed Adaptive Fault-Tolerant Time-Varying Formation Control of Unmanned Airships with Limited Communication Ranges Against Input Saturation for Smart City Observation
28,GPU / Zero-Knowledge Proofs / Delegation of Computation / Batch Arguments / RAM Delegation,3750,"GPU, Zero-Knowledge Proofs, Delegation of Computation, Batch Arguments, RAM Delegation","Boosting Batch Arguments and RAM Delegation. || SPIRAL: Extreme Performance Portability || Memory Access Protocols: Certified Data-Race Freedom for GPU Kernels || Checking Data-Race Freedom Of Gpu Kernels, Compositionally || MUXProofs: Succinct Arguments for Machine Computation from Tuple Lookups."
88,Human-Robot Collaboration / long-horizon manipulation / unknown objects / estimated affordances / general robot manipulation systems,3731,"Human-Robot Collaboration, long-horizon manipulation, unknown objects, estimated affordances, general robot manipulation systems",Long-Horizon Manipulation of Unknown Objects Via Task and Motion Planning with Estimated Affordances || Physical Interaction As Communication: Learning Robot Objectives Online from Human Corrections || To Ask for Help or Not to Ask: A Predictive Approach to Human-in-the-loop Motion Planning for Robot Manipulation Tasks || Co-manipulation with a Library of Virtual Guiding Fixtures. || Human-like Planning for Reaching in Cluttered Environments.
30,Visual Question Answering / 3D Human Pose / Vision-and-language / Navigation / 3D Environments,3695,"Visual Question Answering, 3D Human Pose, Vision-and-language, Navigation, 3D Environments",Learning from Unlabeled 3D Environments for Vision-and-Language Navigation. || Scaling Data Generation in Vision-and-Language Navigation. || Chained Representation Cycling: Learning to Estimate 3D Human Pose and Shape by Cycling Between Representations. || MAPLM: A Real-World Large-Scale Vision-Language Benchmark for Map and Traffic Scene Understanding || VLN-Video: Utilizing Driving Videos for Outdoor Vision-and-Language Navigation
109,Fault diagnosis / fault diagnosis / rotating machinery / Rolling bearing / Digital twin,3695,"Fault diagnosis, fault diagnosis, rotating machinery, Rolling bearing, Digital twin",Twin Broad Learning System for Fault Diagnosis of Rotating Machinery. || Data-Driven Fault Diagnosis Method Based on Compressed Sensing and Improved Multiscale Network || Digital Twin-Driven Focal Modulation-Based Convolutional Network for Intelligent Fault Diagnosis. || Mixed Style Network Based: A Novel Rotating Machinery Fault Diagnosis Method Through Batch Spectral Penalization || Comprehensive Feature Integrated Capsule Network for Machinery Fault Diagnosis
99,online optimization / Optimization / Online optimization / convex optimization / feedback,3680,"online optimization, Optimization, Online optimization, convex optimization, feedback",Online Primal-Dual Methods with Measurement Feedback for Time-Varying Convex Optimization || Dynamic Regret Analysis of Safe Distributed Online Optimization for Convex and Non-convex Problems || OpReg-Boost: Learning to Accelerate Online Algorithms with Operator Regression || Internal Model-Based Online Optimization || Distributed Online Learning over Time-varying Graphs Via Proximal Gradient Descent.
122,Deep learning / object detection / Feature extraction / multi-scale feature fusion / interactive learning,3664,"Deep learning, object detection, Feature extraction, multi-scale feature fusion, interactive learning","MFIL-FCOS: A Multi-Scale Fusion and Interactive Learning Method for 2D Object Detection and Remote Sensing Image Detection || Convolutional Neural Network Based Detection and Judgement of Environmental Obstacle in Vehicle Operation || Deep Learning in Aircraft Design, Dynamics, and Control: Review and Prospects || Backbones-review: Feature Extractor Networks for Deep Learning and Deep Reinforcement Learning Approaches in Computer Vision || Online Learning-Informed Feedforward-Feedback Controller Synthesis for Path Tracking of Autonomous Vehicles"
93,Breast cancer / deep learning / Deep learning / ECG / Breast,3648,"Breast cancer, deep learning, Deep learning, ECG, Breast",Multi-Tasking U-Shaped Network For Benign And Malignant Classification Of Breast Masses || Development of Debiasing Technique for Lung Nodule Chest X-ray Datasets to Generalize Deep Learning Models. || An Intelligent Healthcare Framework for Breast Cancer Diagnosis Based on the Information Fusion of Novel Deep Learning Architectures and Improved Optimization Algorithm || Enhanced Brain Tumor Diagnosis Using Combined Deep Learning Models and Weight Selection Technique || HAN-ECG: an Interpretable Atrial Fibrillation Detection Model Using Hierarchical Attention Networks.
110,Hyperspectral imaging / Feature extraction / Convolutional neural networks / Deep learning / hyperspectral image (HSI) classification,3628,"Hyperspectral imaging, Feature extraction, Convolutional neural networks, Deep learning, hyperspectral image (HSI) classification",A Unified Multiscale Learning Framework for Hyperspectral Image Classification || Multi-Level Feature Extraction Networks for Hyperspectral Image Classification || Hyperspectral Image Classification Using Groupwise Separable Convolutional Vision Transformer Network || Dual-feature Attention-Based Contrastive Prototypical Clustering for Multimodal Remote Sensing Data || Hyperspectral Image Classification Using Group-Aware Hierarchical Transformer
100,Kriging / Multi-Objective Optimization / Global Optimization / Optimization Applications / Particle Swarm Optimization,3627,"Kriging, Multi-Objective Optimization, Global Optimization, Optimization Applications, Particle Swarm Optimization",CIS Publication Spotlight [publication Spotlight] || A Competitive Divide-and-Conquer Algorithm for Unconstrained Large-Scale Black-Box Optimization. || A Surrogate-Assisted a Priori Multiobjective Evolutionary Algorithm for Constrained Multiobjective Optimization Problems || Merged Differential Grouping for Large-scale Global Optimization || Cooperative Co-Evolution with Online Optimizer Selection for Large-Scale Optimization
23,Medical image segmentation / Feature fusion / Deep learning / Image segmentation / Semantics,3554,"Medical image segmentation, Feature fusion, Deep learning, Image segmentation, Semantics","MicroSeg: Multi-scale Fusion Learning for Microaneurysms Segmentation || MFI-Net: Multi-level Feature Integration Network with SE-Res2Conv Encoder for Jaw Cyst Segmentation || CRMEFNet: A Coupled Refinement, Multiscale Exploration and Fusion Network for Medical Image Segmentation. || NeighborNet: Learning Intra- and Inter-Image Pixel Neighbor Representation for Breast Lesion Segmentation || HI-Net: Liver Vessel Segmentation with Hierarchical Inter-Scale Multi-Scale Feature Fusion"
5,virtual reality / prototyping / user studies / prototype representation / automated vehicles,3552,"virtual reality, prototyping, user studies, prototype representation, automated vehicles",Context-Based Interface Prototyping: Understanding the Effect of Prototype Representation on User Feedback. || Understanding Human-Robot Interaction in Virtual Reality. || Designing Interactions with Shared AVs in Complex Urban Mobility Scenarios || The Continuity of Locomotion: Rethinking Conventions for Locomotion and Its Visualization in Shared Virtual Reality Spaces || User Representations in Human-Computer Interaction
128,Deep learning / Information fusion / Real-time data / Heterogeneous data / Multimodal data,3486,"Deep learning, Information fusion, Real-time data, Heterogeneous data, Multimodal data",Ifusion: Towards Efficient Intelligence Fusion for Deep Learning from Real-Time and Heterogeneous Data. || Two-Stage Spatial Mapping for Multimodal Data Fusion in Mobile Crowd Sensing || Realizing Data Features by Deep Nets || Efficient Federated Learning with Quality-Aware Generated Models: an Incentive Mechanism || Alleviating Data Sparsity Problems in Estimated Time of Arrival Via Auxiliary Metric Learning
106,diffusion strategy / gradient noise / Multitask distributed inference / smoothness prior / graph Laplacian regularization,3464,"diffusion strategy, gradient noise, Multitask distributed inference, smoothness prior, graph Laplacian regularization",Learning over Multitask Graphs -- Part II: Performance Analysis || Learning over Multitask Graphs -- Part I: Stability Analysis || Supervised Learning under Distributed Features || SPARQ-SGD: Event-Triggered and Compressed Communication in Decentralized Optimization. || Distributed Coupled Learning over Adaptive Networks
98,Granular computing / Data models / Uncertainty / Rough sets / Entropy,3385,"Granular computing, Data models, Uncertainty, Rough sets, Entropy","Intelligent Characteristic Objects Method (INCOME): a Data Knowledge-Based Multi-Criteria Decision Analysis || An Intuitionistic Fuzzy-Rough Set Model and Its Application to Feature Selection. || Multigranularity Data Analysis with Zentropy Uncertainty Measure for Efficient and Robust Feature Selection || Takagi-Sugeno-Kang Fuzzy System Fusion: A Survey at Hierarchical, Wide and Stacked Levels || A Granular Computing-Driven Best–Worst Method for Supporting Group Decision Making"
25,Multiple Object Tracking / Real-time Tracking / Visual Tracking / Object Tracking / Foreground Segmentation,3287,"Multiple Object Tracking, Real-time Tracking, Visual Tracking, Object Tracking, Foreground Segmentation",What Foundation Models Can Bring for Robot Learning in Manipulation : A Survey. || A Framework for Fast Prototyping of Photo-realistic Environments with Multiple Pedestrians || Transferable Active Grasping and Real Embodied Dataset. || Recognizing Objects In-the-wild: Where Do We Stand? || THÖR: Human-Robot Navigation Data Collection and Accurate Motion Trajectories Dataset
34,swarm intelligence / Predictive models / Optimization / Accuracy / artificial intelligence,3202,"swarm intelligence, Predictive models, Optimization, Accuracy, artificial intelligence",Machine Learning Tuning by Diversity Oriented Firefly Metaheuristics for Industry 4.0. || GRNN Model with Feedback Mechanism Incorporating $K$-Nearest Neighbor and Modified Gray Wolf Optimization Algorithm in Intelligent Transportation || Solving Multimodal Optimization Problems by a Knowledge-Driven Brain Storm Optimization Algorithm || Multi-Swarm Algorithm for Extreme Learning Machine Optimization. || A Discrete Intelligent Classification Methodology
24,Virtual reality / virtual reality / exergaming / emotions / affect,3058,"Virtual reality, virtual reality, exergaming, emotions, affect",REVEAL: REal and Virtual Environments Augmentation Lab @ Bath. || Digital Proxemics: Designing Social and Collaborative Interaction in Virtual Environments || Mixed Interaction: Evaluating User Interactions for Object Manipulations in Virtual Space || Everyday Proxy Objects for Virtual Reality. || FaceDisplay: Towards Asymmetric Multi-User Interaction for Nomadic Virtual Reality.
41,human-robot interaction / smart home / Social robot / Smart home / Human-robot interaction,3044,"human-robot interaction, smart home, Social robot, Smart home, Human-robot interaction",Welcome to the Future – How Naïve Users Intuitively Address an Intelligent Robotics Apartment || Robo Ludens || Cognitive Human-Robot Interaction || How to Address Smart Homes with A Social Robot? A Multi-Modal Corpus of User Interactions with an Intelligent Environment || Break the Ice: a Survey on Socially Aware Engagement for Human–Robot First Encounters
14,Medical image segmentation / deep learning / U-Net / transformer / Deep learning,2988,"Medical image segmentation, deep learning, U-Net, transformer, Deep learning",A Feature Fusion Module Based on Complementary Attention for Medical Image Segmentation || SSANet-Novel Residual Network for Computer-Aided Diagnosis of Pulmonary Nodules in Chest Computed Tomography || Labelling with Dynamics: A Data-Efficient Learning Paradigm for Medical Image Segmentation || A Mutual Inclusion Mechanism for Precise Boundary Segmentation in Medical Images || MFA-Net: Multiple Feature Association Network for Medical Image Segmentation
16,Medical image segmentation / Image segmentation / Transformers / Biomedical imaging / Computer architecture,2905,"Medical image segmentation, Image segmentation, Transformers, Biomedical imaging, Computer architecture",A Feature Fusion Module Based on Complementary Attention for Medical Image Segmentation || NeighborNet: Learning Intra- and Inter-Image Pixel Neighbor Representation for Breast Lesion Segmentation || LGCE-Net: a Local and Global Contextual Encoding Network for Effective and Efficient Medical Image Segmentation || CCFNet: Collaborative Cross-Fusion Network for Medical Image Segmentation || OFF-eNET: an Optimally Fused Fully End-to-End Network for Automatic Dense Volumetric 3D Intracranial Blood Vessels Segmentation.
42,Machine learning / Analytical models / Current measurement / Buildings / Stakeholders,2895,"Machine learning, Analytical models, Current measurement, Buildings, Stakeholders","White-Box Analysis over Machine Learning: Modeling Performance of Configurable Systems || White-Box Performance-Influence Models: A Profiling and Learning Approach || An Empirical Investigation of Challenges of Specifying Training Data and Runtime Monitors for Critical Software with Machine Learning and Their Relation to Architectural Decisions || Architecting Ml-Enabled Systems: Challenges, Best Practices, and Design Decisions || IDK and ICARO to Develop Multi-Agent Systems in Support of Ambient Intelligence"
