cluster,label,size,top_keywords,top_titles
81,Deep learning / Feature extraction / Visualization / Computer vision / Developments,149225,"Deep learning, Feature extraction, Visualization, Computer vision, Developments",Deep Learning for Visual Understanding: A Review. || LSV-ANet: Deep Learning on Local Structure Visualization for Feature Matching || Improving Deep Convolutional Neural Networks with Unsupervised Feature Learning || MFIL-FCOS: A Multi-Scale Fusion and Interactive Learning Method for 2D Object Detection and Remote Sensing Image Detection || DIMA: Digging into Multigranular Archetype for Fine-Grained Object Detection
14,Reinforcement Learning / Human-Robot Collaboration / Robot Learning / Action Recognition / Safe Human-Robot Interaction,5375,"Reinforcement Learning, Human-Robot Collaboration, Robot Learning, Action Recognition, Safe Human-Robot Interaction",Generalizable Task Planning Through Representation Pretraining || Object-centric Forward Modeling for Model Predictive Control. || RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control || Affordance Learning from Play for Sample-Efficient Policy Learning || ToolFlowNet: Robotic Manipulation with Tools Via Predicting Tool Flow from Point Clouds
52,Task analysis / Planning / Trajectory / Transformers / Roads,5255,"Task analysis, Planning, Trajectory, Transformers, Roads",Watch This: Scalable Cost-Function Learning for Path Planning in Urban Environments. || Interactive Joint Planning for Autonomous Vehicles || On Machine Learning and Structure for Mobile Robots || Unsupervised Early Prediction of Human Reaching for Human–robot Collaboration in Shared Workspaces || LF-Net: A Learning-Based Frenet Planning Approach for Urban Autonomous Driving
40,Software Defect Prediction / semantics / Choreography languages / Adaptation / Abstract interpretation,5206,"Software Defect Prediction, semantics, Choreography languages, Adaptation, Abstract interpretation","Split Transition Power Abstraction for Unbounded Safety || Developing Correct, Distributed, Adaptive Software || Detecting Missing-Check Bugs Via Semantic- and Context-Aware Criticalness and Constraints Inferences. || Angelic Verification: Precise Verification Modulo Unknowns. || Refinement Through Restraint: Bringing Down the Cost of Verification"
57,Multi-scale feature / Internet of Things / Deep Learning / Transfer Learning / Artificial Intelligences,5152,"Multi-scale feature, Internet of Things, Deep Learning, Transfer Learning, Artificial Intelligences","Deep Learning-a First Meta-Survey of Selected Reviews Across Scientific Disciplines, Their Commonalities, Challenges and Research Impact || Inception MLP: A Vision MLP Backbone for Multi-scale Feature Extraction || A Novel Sequential Structure for Lightweight Multi-Scale Feature Learning under Limited Available Images. || Low-Resource Scenario Classification Through Model Pruning Towards Refined Edge Intelligence || A Deep Neural Architecture for Harmonizing 3-D Input Data Analysis and Decision Making in Medical Imaging."
21,Technology Use / Design Research / Usability / User-Centered Design / Quantified Self,5022,"Technology Use, Design Research, Usability, User-Centered Design, Quantified Self","Reflections on 5 Years of Personal Informatics: Rising Concerns and Emerging Directions. || Design Beyond the Numbers: Sharing, Comparing, Storytelling and the Need for a Quantified Us || Using Game Mechanics for Field Evaluation of Prototype Social Applications: a Novel Methodology || Head-mounted Displays, Smartphones, or Smartwatches? - Augmenting Conversations with Digital Representation of Self. || (Un)acceptable!?!: Re-thinking the Social Acceptability of Emerging Technologies."
75,Secure Multi-party Computation / Privacy-Preserving Computation / Searchable Encryption / Functional encryption /  Inner product,4929,"Secure Multi-party Computation, Privacy-Preserving Computation, Searchable Encryption, Functional encryption,  Inner product",Efficient Functional Encryption For Inner-Product Values With Full-Hiding Security || STR: Secure Computation on Additive Shares Using the Share-Transform-Reveal Strategy || Secure Computation with Preprocessing Via Function Secret Sharing. || GIFT: A Small Present - Towards Reaching the Limit of Lightweight Encryption || MOE: Multiplication Operated Encryption with Trojan Resilience.
35,Deep learning / deep learning / Image reconstruction / Deep image prior / Low-rank,4906,"Deep learning, deep learning, Image reconstruction, Deep image prior, Low-rank",Image Decomposition Combining Low-Rank and Deep Image Prior || Neural Networks-Based Regularization for Large-Scale Medical Image Reconstruction || Image Reconstruction is a New Frontier of Machine Learning. || A Primal Dual Network For Low-Level Vision Problems || GBE-Net: Global Boundary Enhancement Network for Breast Lesion Segmentation in Ultrasound Images
110,task offloading / Task analysis / Servers / Optimization / 5G,4872,"task offloading, Task analysis, Servers, Optimization, 5G",Advanced Deep Learning for Resource Allocation and Security Aware Data Offloading in Industrial Mobile Edge Computing. || Intelligent Edge Computing in Internet of Vehicles: A Joint Computation Offloading and Caching Solution || Optimizing Energy Efficiency in Vehicular Edge-Cloud Networks Through Deep Reinforcement Learning-Based Computation Offloading || On Joint Offloading and Resource Allocation: A Double Deep Q-Network Approach. || Two-Layer Edge Intelligence for Task Offloading and Computing Capacity Allocation with UAV Assistance in Vehicular Networks
65,attention mechanism / Deep learning / Task analysis / Feature extraction / Low-light image enhancement,4676,"attention mechanism, Deep learning, Task analysis, Feature extraction, Low-light image enhancement",LELD: Learn Enhancement by Learning Degradation || Depth-Wise Convolutions in Vision Transformers for Efficient Training on Small Datasets || Spatiotemporal Representation Learning for Blind Video Quality Assessment || High Efficiency Deep-learning Based Video Compression || Stacked Deformable Convolution Network with Weighted Non-Local Attention and Branch Residual Connection for Image Quality Assessment
42,linguistic set / hesitant intuitionistic fuzzy numbers / aggregation operators / linguistic scale function / multi-attribute decision-making (MADM),4616,"linguistic set, hesitant intuitionistic fuzzy numbers, aggregation operators, linguistic scale function, multi-attribute decision-making (MADM)",Multi-Attribute Decision-Making Based on Prioritized Aggregation Operator under Hesitant Intuitionistic Fuzzy Linguistic Environment || Extended TOPSIS Method Based on the Entropy Measure and Probabilistic Hesitant Fuzzy Information and Their Application in Decision Support System. || Multi-attribute Group Decision-Making Method Using Single-Valued Neutrosophic Credibility Numbers with Fairly Variable Extended Power Average Operators and GRA-MARCOS || A Note on Extension of TOPSIS to Multiple Criteria Decision Making with Pythagorean Fuzzy Sets || Cumulative Prospect Theory Integrated CRITIC and TOPSIS Methods for Intuitionistic Fuzzy Multiple Attribute Group Decision Making.
95,Deep learning / Drug–target binding affinity / Self-supervised learning / Mutual information / Multi-scale features,4443,"Deep learning, Drug–target binding affinity, Self-supervised learning, Mutual information, Multi-scale features","SubMDTA: Drug Target Affinity Prediction Based on Substructure Extraction and Multi-Scale Features. || Prediction of Drug-Target Interactions Based on Multi-Layer Network Representation Learning || Improving Brain E-Health Services Via High-Performance EEG Classification with Grouping Bayesian Optimization || ECG-CL: A Comprehensive Electrocardiogram Interpretation Method Based on Continual Learning || Computational Approaches to Explainable Artificial Intelligence: Advances in Theory, Applications and Trends."
77,Medical image segmentation / Computational modeling / Transformers / Image classification / Knowledge distillation,4440,"Medical image segmentation, Computational modeling, Transformers, Image classification, Knowledge distillation",Learning a Hierarchical Global Attention for Image Classification || Attribute Surrogates Learning and Spectral Tokens Pooling in Transformers for Few-shot Learning || Explainable Knowledge Distillation for On-device Chest X-Ray Classification. || HDKD: Hybrid Data-Efficient Knowledge Distillation Network for Medical Image Classification. || TC-Net: A Joint Learning Framework Based on CNN and Vision Transformer for Multi-Lesion Medical Images Segmentation.
47,long-horizon manipulation / unknown objects / estimated affordances / general robot manipulation systems / general-purpose task,4385,"long-horizon manipulation, unknown objects, estimated affordances, general robot manipulation systems, general-purpose task",Long-Horizon Manipulation of Unknown Objects Via Task and Motion Planning with Estimated Affordances || Accelerated Sensorimotor Learning of Compliant Movement Primitives || Versatile Multicontact Planning and Control for Legged Loco-Manipulation. || Keypoint-Based Planar Bimanual Shaping of Deformable Linear Objects under Environmental Constraints with Hierarchical Action Framework || A Multiagent Reinforcement Learning Approach for Inverse Kinematics of High Dimensional Manipulators with Precision Positioning
101,Servers / Computational modeling / Internet of Things / Federated learning / Data models,4286,"Servers, Computational modeling, Internet of Things, Federated learning, Data models","Federated Learning with Cooperating Devices: A Consensus Approach for Massive IoT Networks || Efficient Federated Learning for Fault Diagnosis in Industrial Cloud-Edge Computing || IoTSL: Toward Efficient Distributed Learning for Resource-Constrained Internet of Things || Distributed Learning on Mobile Devices: A New Approach to Data Mining in the Internet of Things || FLEE: A Hierarchical Federated Learning Framework for Distributed Deep Neural Network over Cloud, Edge, and End Device"
19,virtual reality / sensemaking / Data visualization / Tools / Three-dimensional displays,4278,"virtual reality, sensemaking, Data visualization, Tools, Three-dimensional displays",Touch and Beyond: Comparing Physical and Virtual Reality Visualizations || Visfer: Camera-based Visual Data Transfer for Cross-Device Visualization || Visual Highlighting for Situated Brushing and Linking || Move Your Body: Engaging Museum Visitors with Human-Data Interaction. || Different Realities: a Comparison of Augmented and Virtual Reality for the Sensemaking Process
93,Convex functions / Convergence / Optimization / Gradient methods / Distributed optimization,4236,"Convex functions, Convergence, Optimization, Gradient methods, Distributed optimization",On Distributed Nonconvex Optimization: Projected Subgradient Method for Weakly Convex Problems in Networks. || Communication-Efficient Distributed Eigenspace Estimation. || Distributed Continuous and Discrete Time Projection Neurodynamic Approaches for Sparse Recovery. || Primal-dual Methods for Large-Scale and Distributed Convex Optimization and Data Analytics || Distributed Sparsity Constrained Optimization over the Stiefel Manifold
80,Multi-view learning / Multi-view clustering / Non-negative matrix factorization / Statistical learning theory / Co-training,4144,"Multi-view learning, Multi-view clustering, Non-negative matrix factorization, Statistical learning theory, Co-training",Multi-view Learning Overview: Recent Progress and New Challenges || Deep Probability Multi-View Feature Learning for Data Clustering || Multiview Structural Large Margin Classifier and Its Safe Acceleration Strategy. || Unsupervised Feature Selection Via Latent Representation Learning and Manifold Regularization || Unsupervised Multi-View Non-Negative for Law Data Feature Learning with Dual Graph-Regularization in Smart Internet of Things
78,deep learning / Deep learning / Convolutional neural networks / Task analysis / Graph convolutional network,4128,"deep learning, Deep learning, Convolutional neural networks, Task analysis, Graph convolutional network",Deep Multi-View Learning Methods: A Review. || Deep Random Walk of Unitary Invariance for Large-Scale Data Representation. || Development of Debiasing Technique for Lung Nodule Chest X-ray Datasets to Generalize Deep Learning Models. || Detect Occluded Items in X-ray Baggage Inspection || Interpretable Graph Convolutional Network for Multi-View Semi-Supervised Learning
41,Machine learning / Artificial intelligence / Trust / AI-augmented decision making / artificial intelligence,4087,"Machine learning, Artificial intelligence, Trust, AI-augmented decision making, artificial intelligence",Design Principles for Artificial Intelligence-Augmented Decision Making: an Action Design Research Study || How Do Users Feel when They Use Artificial Intelligence for Decision Making? A Framework for Assessing Users’ Perception || The Design of Human-Artificial Intelligence Systems in Decision Sciences: A Look Back and Directions Forward || Beyond Effective Use: Integrating Wise Reasoning in Machine Learning Development || Adoption Barriers of AI - a Context-Specific Acceptance Model for Industrial Maintenance.
92,Cost function / Convergence / Topology / Estimation / Distributed algorithm,4021,"Cost function, Convergence, Topology, Estimation, Distributed algorithm",A General Framework for Decentralized Optimization with First-Order Methods || Distributed Optimization Algorithms for MASs with Network Attacks: from Continuous-Time to Event-Triggered Communication || Nonlinear Perturbation-based Non-Convex Optimization over Time-Varying Networks || GNSD: a Gradient-Tracking Based Nonconvex Stochastic Algorithm for Decentralized Optimization. || Distributed Online Optimization with Long-Term Constraints
38,Huffman coding / Encryption / Reversible data hiding / Image coding / Encrypted images,3761,"Huffman coding, Encryption, Reversible data hiding, Image coding, Encrypted images","Boolean-based Two-in-One Secret Image Sharing by Adaptive Pixel Grouping. || Reversible Data Hiding in Encrypted Images Using Reservoir Computing Based Data Fusion Strategy || Reversible Data Hiding in Encrypted Images Based on Time-Varying Huffman Coding Table || Parametric Reversible Data Hiding in Encrypted Images Using Adaptive Bit-Level Data Embedding and Checkerboard Based Prediction || Reversible Data Hiding in Encrypted Image Based on (7, 4) Hamming Code and UnitSmooth Detection."
45,Temporal Logic / Security Policies / Runtime verification / Taxonomy / Tool,3756,"Temporal Logic, Security Policies, Runtime verification, Taxonomy, Tool",A Temporal Logic for Strategic Hyperproperties || A Taxonomy for Classifying Runtime Verification Tools || A Deductive Verification Infrastructure for Probabilistic Programs. || KATch: A Fast Symbolic Verifier for NetKAT || Personalized Algorithmic Recourse with Preference Elicitation
30,inverse rendering / Volume transformation / Volume visualization / progressive / automatic,3743,"inverse rendering, Volume transformation, Volume visualization, progressive, automatic",Progressive Direct Volume-to-Volume Transformation. || Real-Time Volume Rendering with Octree-Based Implicit Surface Representation || Learning Neural Duplex Radiance Fields for Real-Time View Synthesis. || Differentiable Signed Distance Function Rendering. || Explicit Neural Surfaces: Learning Continuous Geometry with Deformation Fields
15,Object Detection / 3D observational signals / automatic hyperparameter optimization / autonomous skill acquisition / future depth videos,3622,"Object Detection, 3D observational signals, automatic hyperparameter optimization, autonomous skill acquisition, future depth videos","T3VIP: Transformation-based 3D Video Prediction || OccWorld: Learning a 3D Occupancy World Model for Autonomous Driving || Feature-Realistic Neural Fusion for Real-Time, Open Set Scene Understanding || VLocNet++: Deep Multitask Learning for Semantic Visual Localization and Odometry. || Automatically Prepare Training Data for YOLO Using Robotic In-Hand Observation and Synthesis."
53,Robotics / Multi-robot / Temporal logic / HRI / Heterogeneous robots,3535,"Robotics, Multi-robot, Temporal logic, HRI, Heterogeneous robots",Adaptive Heterogeneous Multi-Robot Collaboration from Formal Task Specifications || Data-Driven Abstractions for Robots with Stochastic Dynamics || Verifiable Strategy Synthesis for Multiple Autonomous Agents: a Scalable Approach || Sora for Hierarchical Parallel Motion Planner: A Safe End-to-End Method Against OOD Events || Hyper-Learning Algorithms for Online Evolution of Robot Controllers
56,Servers / Edge computing / Training / Computation offloading / resource management,3525,"Servers, Edge computing, Training, Computation offloading, resource management",Federated Learning for Computational Offloading and Resource Management of Vehicular Edge Computing in 6G-V2X Network || Popularity-Aware Online Task Offloading for Heterogeneous Vehicular Edge Computing Using Contextual Clustering of Bandits || Federated Continuous Learning Based on Stacked Broad Learning System Assisted by Digital Twin Networks: an Incremental Learning Approach for Intrusion Detection in UAV Networks || Efficient Rate-Splitting Multiple Access for the Internet of Vehicles: Federated Edge Learning and Latency Minimization. || Distributed Intelligence in Wireless Networks
111,ITS / V2X communications / ICAS / short-range communications / content caching,3468,"ITS, V2X communications, ICAS, short-range communications, content caching","Wireless Internet - 11th EAI International Conference, WiCON 2018, Taipei, Taiwan, October 15-16, 2018, Proceedings || Intelligent Transportation Systems in the Context of 5G-Beyond and 6G Networks || Optimizing the Resource Allocation of Periodic Messages with Different Sizes in LTE-V2V || Series Editorial: Artificial Intelligence and Data Science for Communications || Wireless Recommendations for Internet of Vehicles: Recent Advances, Challenges, and Opportunities."
85,Neural networks / machine learning / Multi-fidelity / Machine learning / supervised learning,3459,"Neural networks, machine learning, Multi-fidelity, Machine learning, supervised learning","Towards a Mathematical Understanding of Neural Network-Based Machine Learning: What We Know and What We Don't || Machine Learning from a Continuous Viewpoint,i || Feature-adjacent Multi-Fidelity Physics-Informed Machine Learning for Partial Differential Equations || Regularized Optimal Transport Layers for Generalized Global Pooling Operations. || SIGNSGD: Compressed Optimisation for Non-Convex Problems."
68,deep learning / Deep learning / learning with noisy labels / classification / Deep Learning,3386,"deep learning, Deep learning, learning with noisy labels, classification, Deep Learning",Learning with Noisy Labels Through Learnable Weighting and Centroid Similarity || Automatic Optimization-Based Methods in Machine Learning: A Systematic Review || Transformer with Selective Shuffled Position Embedding and Key-Patch Exchange Strategy for Early Detection of Knee Osteoarthritis || Emapdiffp: A Novel Learning Algorithm for Convolutional Neural Network Optimization || An Atrial Fibrillation Classification Method Based on an Outlier Data Filtering Strategy and Modified Residual Block of the Feature Pyramid Network
86,Computational modeling / Analytical models / Constraint Handling / Real-time Optimization / Data-Driven Control,3327,"Computational modeling, Analytical models, Constraint Handling, Real-time Optimization, Data-Driven Control","Statistical Learning Theory for Control: A Finite Sample Perspective. || Learnable Graph-regularization for Matrix Decomposition || Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities. || Self-Organizing Hierarchical Incremental Learning Framework and Universal Approximation Analysis Based on Stochastic Configuration Mechanism || Efficient Representation to Dynamic QoS Data Via Generalized Nesterov’s Accelerated Gradient-incorporated Biased Non-negative Latent Factorization of Tensors"
26,Supply chain management / Big data / Absorptive capacity (AC) / digital circular economy innovation (DCEI) / digital technology,3311,"Supply chain management, Big data, Absorptive capacity (AC), digital circular economy innovation (DCEI), digital technology","Leveraging Digital Technology Capability for Circular Economy Innovation in the Food Products Supply Chain: A Mixed-Method Study || Enablers to Supply Chain Performance on the Basis of Digitization Technologies. || Big Data Analytics in Supply Chain Management: A State-of-the-art Literature Review || Digitalisation of Manufacturing Operations: the Influential Role of Organisational, Social, Environmental, and Technological Impediments || A Decision Support Model for Identification and Prioritization of Key Performance Indicators in the Logistics Industry."
23,3D medical imaging / Interactive 3D image segmentation / Active learning / Deep learning / 3d shape analysis,3278,"3D medical imaging, Interactive 3D image segmentation, Active learning, Deep learning, 3d shape analysis",ViLMedic: a Framework for Research at the Intersection of Vision and Language in Medical AI || MONAI Label: A Framework for AI-assisted Interactive Labeling of 3D Medical Images || Motion Annotation Programs: A Scalable Approach to Annotating Kinematic Articulations in Large 3D Shape Collections || Collaborative Virtual Reality for Laparoscopic Liver Surgery Training. || Human-centered Machine Learning Through Interactive Visualization: Review and Open Challenges.
116,Energy consumption / Delays / Edge computing / Mobile edge computing / mobile edge computing (MEC),3260,"Energy consumption, Delays, Edge computing, Mobile edge computing, mobile edge computing (MEC)",Scalable Compute Continuum || BEV-SGD: Best Effort Voting SGD Against Byzantine Attacks for Analog-Aggregation-Based Federated Learning over the Air || Double Deep Q-Learning-based Path Selection and Service Placement for Latency-Sensitive Beyond 5G Applications || Energy-Aware Collaborative Service Caching in a 5G-Enabled MEC with Uncertain Payoffs || Multi-Objective Computation Sharing in Energy and Delay Constrained Mobile Edge Computing Environments
94,deep learning / Atrial fibrillation / Deep learning / Attention mechanism / Electrocardiogram,3184,"deep learning, Atrial fibrillation, Deep learning, Attention mechanism, Electrocardiogram","An Atrial Fibrillation Detection Algorithm Based on Lightweight Design Architecture and Feature Fusion Strategy || Automated Arrhythmia Detection with Homeomorphically Irreducible Tree Technique Using More Than 10, 000 Individual Subject ECG Records. || Exploring Cardiac Rhythms and Improving ECG Beat Classification Through Latent Spaces || Deep Learning with a Recurrent Network Structure in the Sequence Modeling of Imbalanced Data for ECG-Rhythm Classifier || HAN-ECG: an Interpretable Atrial Fibrillation Detection Model Using Hierarchical Attention Networks."
96,deep learning / Machine learning / manifold learning / tabular data / Deep learning theory,3087,"deep learning, Machine learning, manifold learning, tabular data, Deep learning theory",Manifoldron: Direct Space Partition Via Manifold Discovery || Generalization Error Guaranteed Auto-Encoder-Based Nonlinear Model Reduction for Operator Learning || Learning with Noisy Labels Through Learnable Weighting and Centroid Similarity || Deep Learning and Symbolic Regression for Discovering Parametric Equations. || Integration of Neural Network-Based Symbolic Regression in Deep Learning for Scientific Discovery
82,distributed optimization / heuristic search / Source location / Survivable network / Submodular cover,3035,"distributed optimization, heuristic search, Source location, Survivable network, Submodular cover","Approximating Source Location and Star Survivable Network Problems. || Distributed Convex Optimization ""Over-the-air"" in Dynamic Environments || Detecting Critical Nodes in Sparse Graphs Via ""Reduce-Solve-combine"" Memetic Search || Online Submodular Maximization with Free Disposal || Approximation Algorithms for Minimum Norm and Ordered Optimization Problems."
79,Delays / Interference / Heuristic algorithms / Resource management / Computational modeling,3001,"Delays, Interference, Heuristic algorithms, Resource management, Computational modeling",Distributed Caching for Data Dissemination in the Downlink of Heterogeneous Networks. || Energy Aware Disjoint Dominating Sets Algorithm for Heterogeneous Wireless Sensor Networks || Q-Learning-Based Data-Aggregation-Aware Energy-Efficient Routing Protocol for Wireless Sensor Networks || Collaborative Task Offloading and Resource Allocation in Small-Cell MEC: A Multi-Agent PPO-Based Scheme || Learning-Based Deadlock-Free Multi-Objective Task Offloading in Satellite Edge Computing with Data-Dependent Constraints and Limited Buffers.
9,Privacy / privacy / Smart Home / Smart Devices / IoT,2923,"Privacy, privacy, Smart Home, Smart Devices, IoT","Implications of XR on Privacy, Security and Behaviour: Insights from Experts. || Defending My Castle: A Co-Design Study of Privacy Mechanisms for Smart Homes. || PriView– Exploring Visualisations to Support Users’ Privacy Awareness || Seeing is Believing?: Effects of Visualization on Smart Device Privacy Perceptions. || Informing the Design of Privacy-Empowering Tools for the Connected Home"
97,Deep learning / Electrocardiogram / deep learning / Atrial fibrillation / Cardiovascular diseases,2919,"Deep learning, Electrocardiogram, deep learning, Atrial fibrillation, Cardiovascular diseases",ECG-CL: A Comprehensive Electrocardiogram Interpretation Method Based on Continual Learning || Classification of Pathological ECG Beats Based on Wireless Body Sensor Networks and Fractional Fourier Transform and Convolutional Neural Network || Machine Learning for Bioinformatics and Neuroimaging || An Atrial Fibrillation Classification Method Based on an Outlier Data Filtering Strategy and Modified Residual Block of the Feature Pyramid Network || Deep Learning for Ecg Classification: A Comparative Study of 1d and 2d Representations and Multimodal Fusion Approaches
29,Computational biophysics / Computational science / Medicine/Public Health / general / Biomedicine,2888,"Computational biophysics, Computational science, Medicine/Public Health, general, Biomedicine","Integrating Machine Learning and Multiscale Modeling-Perspectives, Challenges, and Opportunities in the Biological, Biomedical, and Behavioral Sciences. || Scikit-learn: Machine Learning Without Learning the Machinery. || Machine Learning Meets Visualization - Experiences and Lessons Learned || LEAF: A Benchmark for Federated Settings. || Innvestigate Neural Networks!"
67,Feature extraction / Deep learning / Data models / Adaptation models / Task analysis,2886,"Feature extraction, Deep learning, Data models, Adaptation models, Task analysis",Invariant Feature Learning for Sensor-based Human Activity Recognition || ImageNet Classification with Raspberry Pis: Federated Learning Algorithms of Local Classifiers || Federated Learning–based Global Road Damage Detection || Evolving Unsupervised Deep Neural Networks for Learning Meaningful Representations || An Overview of Deep Semi-Supervised Learning
25,social robotics / Human-robot interaction / Human-Robot Interaction / end-user creation / perception-driven task plans,2831,"social robotics, Human-robot interaction, Human-Robot Interaction, end-user creation, perception-driven task plans",Evaluating Methods for End-User Creation of Robot Task Plans || The Needfinding Machine || Recipient Design in Human–robot Interaction: the Emergent Assessment of a Robot’s Competence || Data-Driven HRI: Learning Social Behaviors by Example from Human–Human Interaction || Cognitive Human-Robot Interaction
102,Network security / Deep learning / Internet of things / Adversarial attacks and defenses / ensemble learning,2624,"Network security, Deep learning, Internet of things, Adversarial attacks and defenses, ensemble learning",Resource-Efficient Neural Networks for Embedded Systems || DeepDetect: an Innovative Hybrid Deep Learning Framework for Anomaly Detection in IoT Networks || Efficient and Robust Machine Learning for Real-World Systems. || Multi-View Ensemble Learning Based-Robust Graph Convolutional Networks Against Adversarial Attacks || Federated Ensemble-Learning for Transport Mode Detection in Vehicular Edge Network.
87,Meta-Learning / Robust Learning / Adaptive inference / knowledge distillation (KD) / remaining useful life (RUL) prediction,2523,"Meta-Learning, Robust Learning, Adaptive inference, knowledge distillation (KD), remaining useful life (RUL) prediction","A Lightweight and Adaptive Knowledge Distillation Framework for Remaining Useful Life Prediction || A Catalogue of Machine Learning Algorithms for Healthcare Risk Predictions || Data Privacy Protection Health Status Assessment for Rotating Machinery with Dual-Task Feature Fusion Framework || Learning Dataset Representation for Automatic Machine Learning Algorithm Selection || Computational Approaches to Explainable Artificial Intelligence: Advances in Theory, Applications and Trends."
73,Feature extraction / Training / Data mining / Deep learning / Supervised learning,2441,"Feature extraction, Training, Data mining, Deep learning, Supervised learning",Dimension Reduction with Prior Information for Knowledge Discovery || A Novel Approach for Classification of Mental Tasks Using Multiview Ensemble Learning (MEL) || Multivariable Correlation Feature Network Construction and Health Condition Assessment for Unlabeled Single-Sample Data || Discriminative Sparse Autoencoder for Gearbox Fault Diagnosis Toward Complex Vibration Signals || Extended Features Based Random Vector Functional Link Network for Classification Problem
88,Deep learning / Collaboration / Predictive models / Robust Learning / Federated learning,2427,"Deep learning, Collaboration, Predictive models, Robust Learning, Federated learning","Federated Learning with Uncertainty-Based Client Clustering for Fleet-Wide Fault Diagnosis || Small Data Challenges for Intelligent Prognostics and Health Management: a Review || Collaborative Prognostics of Lithium-Ion Batteries Using Federated Learning with Dynamic Weighting and Attention Mechanism || Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities. || Stochastic Parallel Extreme Artificial Hydrocarbon Networks: an Implementation for Fast and Robust Supervised Machine Learning in High-Dimensional Data"
24,Human-AI Interaction / data annotation / human-AI collaboration / qualitative analysis / NLU,2340,"Human-AI Interaction, data annotation, human-AI collaboration, qualitative analysis, NLU","PaTAT: Human-AI Collaborative Qualitative Coding with Explainable Interactive Rule Synthesis. || Navigating NLU Challenges in Pair Programming Agents: A Study on Data Size, Gender, Language, and Domain Effects || EvalLM: Interactive Evaluation of Large Language Model Prompts on User-Defined Criteria || Pair Programming Conversations with Agents Vs. Developers: Challenges and Opportunities for SE Community. || Promptiverse: Scalable Generation of Scaffolding Prompts Through Human-AI Hybrid Knowledge Graph Annotation"
90,Secure Multi-party Computation / Searchable Encryption / Privacy-Preserving Computation / Homomorphic Encryption / Secure multiparty computation,2320,"Secure Multi-party Computation, Searchable Encryption, Privacy-Preserving Computation, Homomorphic Encryption, Secure multiparty computation","Efficient Secure Multiparty Computation with Identifiable Abort || Steel: Composable Hardware-based Stateful and Randomised Functional Encryption. || Efficient Public Trace and Revoke from Standard Assumptions || Generalized Pseudorandom Secret Sharing and Efficient Straggler-Resilient Secure Computation. || Concretely Efficient Large-Scale MPC with Active Security (or, TinyKeys for TinyOT)"
39,multipath Rayleigh fading channel / fading channels / differential phase shift keying / chaotic communication / AWGN channels,2268,"multipath Rayleigh fading channel, fading channels, differential phase shift keying, chaotic communication, AWGN channels",Multilevel Code-Shifted Differential-Chaos-shift-keying System. || Novel Integer Hahn Transform for Real-time Lossless Image Authentication in IoT: A 32-Bit Microcontroller Implementation || Design of an MISO-SWIPT-Aided Code-Index Modulated Multi-Carrier M-DCSK System for E-Health IoT || A Novel Differential Chaos Shift Keying Scheme with Multidimensional Index Modulation || Design of an Adaptive Multiresolution $M$ -Ary DCSK System
99,Predictive models / Learning systems / remaining useful life (RUL) prediction / Remaining Useful Life (RUL) / Deep Learning (DL),2192,"Predictive models, Learning systems, remaining useful life (RUL) prediction, Remaining Useful Life (RUL), Deep Learning (DL)",Advancing RUL Prediction in Mechanical Systems: A Hybrid Deep Learning Approach Utilizing Non-Full Lifecycle Data || Semi-supervised Machinery Health Assessment Framework Via Temporal Broad Learning System Embedding Manifold Regularization with Unlabeled Data || Incremental Learning for Remaining Useful Life Prediction Via Temporal Cascade Broad Learning System with Newly Acquired Data. || A Remaining Useful Life Prediction Method of Rolling Bearings Based on Deep Reinforcement Learning || Soft-sensing of Wastewater Treatment Process Via Deep Belief Network with Event-triggered Learning.
60,Feature extraction / Remote sensing / pansharpening / Pansharpening / Transformers,2159,"Feature extraction, Remote sensing, pansharpening, Pansharpening, Transformers",FusionMamba: Efficient Remote Sensing Image Fusion with State Space Model || MASCAR: Multidomain Adaptive Spatial–Spectral Variable Compression Artifact Removal Network for Multispectral Remote Sensing Images || A Deep Multitask Convolutional Neural Network for Remote Sensing Image Super-Resolution and Colorization || Balanced Spatio-Spectral Feature Extraction for Hyperspectral and Multispectral Image Fusion || Deep Learning-Based Technique for Remote Sensing Image Enhancement Using Multiscale Feature Fusion
84,Statistics / Sociology / Optimization / neural network / Bayesian optimization,2148,"Statistics, Sociology, Optimization, neural network, Bayesian optimization",A Data Stream Ensemble Assisted Multifactorial Evolutionary Algorithm for Offline Data-Driven Dynamic Optimization. || Differential Evolution Based on Network Structure for Feature Selection || Learning to Guide Particle Search for Dynamic Multiobjective Optimization. || Knee Point-Based Imbalanced Transfer Learning for Dynamic Multiobjective Optimization. || Evolutionary Optimization of High-Dimensional Multiobjective and Many-Objective Expensive Problems Assisted by a Dropout Neural Network
