cluster,label,size,top_keywords,top_titles
68,machine learning / Federated Learning / privacy-preserving protocols / secure aggregation / federated learning,3046,"machine learning, Federated Learning, privacy-preserving protocols, secure aggregation, federated learning","Practical Secure Aggregation for Privacy-Preserving Machine Learning || Mastic: Private Weighted Heavy-Hitters and Attribute-Based Metrics. || ShapleyFL: Robust Federated Learning Based on Shapley Value. || SecKNN: FSS-Based Secure Multi-Party KNN Classification under General Distance Functions || Adaptive Verifiable Coded Computing: Towards Fast, Secure and Private Distributed Machine Learning"
53,Fault diagnosis / Deep learning / fault diagnosis / Rolling bearing / Digital twin,5552,"Fault diagnosis, Deep learning, fault diagnosis, Rolling bearing, Digital twin",Digital Twin-Driven Focal Modulation-Based Convolutional Network for Intelligent Fault Diagnosis. || Mixed Style Network Based: A Novel Rotating Machinery Fault Diagnosis Method Through Batch Spectral Penalization || Domain-invariant Feature Fusion Networks for Semi-Supervised Generalization Fault Diagnosis || Data-Driven Machinery Fault Detection: A Comprehensive Review || Comprehensive Feature Integrated Capsule Network for Machinery Fault Diagnosis
13,Feature extraction / Data models / Training / synthetic aperture radar (SAR) / Multiview learning,2168,"Feature extraction, Data models, Training, synthetic aperture radar (SAR), Multiview learning",An Online Multiview Learning Algorithm for PolSAR Data Real-Time Classification. || Decoding the Partial Pretrained Networks for Sea-Ice Segmentation of 2021 Gaofen Challenge. || Online Semisupervised Active Classification for Multiview PolSAR Data || Improving SAR Automatic Target Recognition Via Trusted Knowledge Distillation from Simulated Data || So2Sat LCZ42: A Benchmark Data Set for the Classification of Global Local Climate Zones [software and Data Sets]
36,Machine learning / machine learning / disk anomaly detection / multi-instance learning (MIL) / AutoML,3888,"Machine learning, machine learning, disk anomaly detection, multi-instance learning (MIL), AutoML",Evolving Deep Multiple Kernel Learning Networks Through Genetic Algorithms. || Evolutionary Multitasking AUC Optimization [research Frontier] || Time-Dependent Cloud Workload Forecasting Via Multi-Task Learning. || AI-based Modeling and Data-driven Evaluation for Smart Manufacturing Processes. || Resource-Constrained Multisource Instance-Based Transfer Learning
3,Data models / Predictive models / Deep learning / Training / Lithium-ion batteries,1942,"Data models, Predictive models, Deep learning, Training, Lithium-ion batteries",Lithium-Ion Battery State of Health Degradation Prediction Using Deep Learning Approaches || Collaborative Prognostics of Lithium-Ion Batteries Using Federated Learning with Dynamic Weighting and Attention Mechanism || Smart Predictive Maintenance for High-Performance Computing Systems: a Literature Review || GaNDLF: A Generally Nuanced Deep Learning Framework for Scalable End-to-End Clinical Workflows in Medical Imaging || Scalable and Accurate Deep Learning with Electronic Health Records.
14,Deep learning / Diagnosis and prognosis modeling / Discriminative feature learning / Distributional matching / Latent representation learning,3385,"Deep learning, Diagnosis and prognosis modeling, Discriminative feature learning, Distributional matching, Latent representation learning","Discriminative Latent Representation Harmonization of Multicenter Medical Data || Computational Approaches to Explainable Artificial Intelligence: Advances in Theory, Applications and Trends. || MS-ADR: Predicting Drug–drug Adverse Reactions Base on Multi-Source Heterogeneous Convolutional Signed Network || MMA: Multi-Metric-Autoencoder for Analyzing High-Dimensional and Incomplete Data. || Prediction of Drug-Target Interactions Based on Multi-Layer Network Representation Learning"
41,machine learning / energy efficiency / Error correction / FPGA-based emulation / Gallager B (GaB),3725,"machine learning, energy efficiency, Error correction, FPGA-based emulation, Gallager B (GaB)",A Novel Implementation Methodology for Error Correction Codes on a Neuromorphic Architecture || Approaching Globally Optimal Energy Efficiency in Interference Networks Via Machine Learning. || CANNON: Communication-Aware Sparse Neural Network Optimization || Efficient-Adam: Communication-Efficient Distributed Adam || Distributed Precoding for Network Massive MIMO Systems Without Data Sharing
57,Training / Data models / Servers / edge computing / Federated Learning,2795,"Training, Data models, Servers, edge computing, Federated Learning","Local & Federated Learning at the Network Edge for Efficient Predictive Analytics || Guest Editorial: Special Issue on Machine Learning and Artificial Intelligence for Managing Networks, Systems, and Services—Part I || Enhancing Knowledge Reusability: A Distributed Multitask Machine Learning Approach || Pheavy: Predicting Heavy Flows in the Programmable Data Plane || Deep Transfer Learning: A Novel Collaborative Learning Model for Cyberattack Detection Systems in IoT Networks."
0,Neuromorphic Photonics / Digital Signal Processing / Graph Neural Networks / silicon photonics / optical computing,889,"Neuromorphic Photonics, Digital Signal Processing, Graph Neural Networks, silicon photonics, optical computing",GHOST: A Graph Neural Network Accelerator Using Silicon Photonics || Large-scale Photonic Natural Language Processing || Deep Photonic Reservoir Computer for Speech Recognition || 11 TOPS Photonic Convolutional Accelerator for Optical Neural Networks || FreshGNN: Reducing Memory Access Via Stable Historical Embeddings for Graph Neural Network Training
15,Lesions / Training / Image segmentation / Task analysis / Biomedical imaging,2613,"Lesions, Training, Image segmentation, Task analysis, Biomedical imaging",RECIST-Induced Reliable Learning: Geometry-Driven Label Propagation for Universal Lesion Segmentation. || NFN＋: A Novel Network Followed Network for Retinal Vessel Segmentation. || Annotation-efficient Deep Learning for Automatic Medical Image Segmentation || Self-supervised Semantic Segmentation: Consistency over Transformation || Automated Design of Deep Learning Methods for Biomedical Image Segmentation
52,Deep learning / Human activity recognition / Tuning / Artificial neural networks / Accuracy,2057,"Deep learning, Human activity recognition, Tuning, Artificial neural networks, Accuracy",NeuroHAR: A Neuroevolutionary Method for Human Activity Recognition (HAR) for Health Monitoring || An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring. || Pruning Deep Convolutional Neural Networks for Efficient Edge Computing in Condition Assessment of Infrastructures. || Deep Learning Based Framework for Automatic Damage Detection in Aircraft Engine Borescope Inspection || Intelligent Fault Diagnosis by Fusing Domain Adversarial Training and Maximum Mean Discrepancy Via Ensemble Learning.
34,Blockchain / Industrial Internet of Things (IIoT) / Protocols / Artificial intelligence / Elliptic curves,3383,"Blockchain, Industrial Internet of Things (IIoT), Protocols, Artificial intelligence, Elliptic curves",Leakage-Resilient Authenticated Key Exchange for Edge Artificial Intelligence || Authenticated Key Agreement Scheme for Fog-Driven IoT Healthcare System. || Verifiable Data Streaming with Efficient Update for Intelligent Automation Systems || MSIAP: A Dynamic Searchable Encryption for Privacy-Protection on Smart Grid with Cloud-Edge-End || SCBS: A Short Certificate-Based Signature Scheme with Efficient Aggregation for Industrial-Internet-of-Things Environment
20,Machine learning / Deep learning / Neural networks / Mathematical model / Data models,2159,"Machine learning, Deep learning, Neural networks, Mathematical model, Data models",Integration of Neural Network-Based Symbolic Regression in Deep Learning for Scientific Discovery || Precision Machine Learning. || Understanding and Leveraging the I/O Patterns of Emerging Machine Learning Analytics || Deep Learning and Symbolic Regression for Discovering Parametric Equations. || Fusing Physics-based and Deep Learning Models for Prognostics
5,Language Modeling / Syntax-based Translation Models / Topic Modeling / Neural Machine Translation / Multilingual Neural Machine Translation,2726,"Language Modeling, Syntax-based Translation Models, Topic Modeling, Neural Machine Translation, Multilingual Neural Machine Translation","Benchmarking Generalization Via In-Context Instructions on 1, 600+ Language Tasks || LaMDA: Language Models for Dialog Applications || FinGPT: Large Generative Models for a Small Language || Aya Dataset: an Open-Access Collection for Multilingual Instruction Tuning || Primer: Searching for Efficient Transformers for Language Modeling"
9,Machine learning / swarm intelligence / Deep learning / Prognostics and health management (PHM) / Small data,2204,"Machine learning, swarm intelligence, Deep learning, Prognostics and health management (PHM), Small data","Small Data Challenges for Intelligent Prognostics and Health Management: a Review || Machine Learning Tuning by Diversity Oriented Firefly Metaheuristics for Industry 4.0. || Integrating Metaheuristics and Artificial Intelligence for Healthcare: Basics, Challenging and Future Directions || Dual-phase Neural Networks for Feature Extraction and Ensemble Learning for Recognizing Human Health Activities || Deep Learning for Intelligent IoT: Opportunities, Challenges and Solutions"
6,arrhythmia detection / Deep learning / ECG / Advancement of medical instrumentation (AAMI) standard / cardiovascular diseases (CVDs),1667,"arrhythmia detection, Deep learning, ECG, Advancement of medical instrumentation (AAMI) standard, cardiovascular diseases (CVDs)","A Multitier Deep Learning Model for Arrhythmia Detection || Enhancing Cardiac Diagnostics: a Deep Learning Ensemble Approach for Precise ECG Image Classification || Comparing Feature-Based Classifiers and Convolutional Neural Networks to Detect Arrhythmia from Short Segments of ECG || ECGNET: Learning Where to Attend for Detection of Atrial Fibrillation with Deep Visual Attention. || Automated Arrhythmia Detection with Homeomorphically Irreducible Tree Technique Using More Than 10, 000 Individual Subject ECG Records."
